Number of lattices vertically n=33
Number of the lattice spaces the length of the core occupies b=1
Defect type m=-1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.600000, ring radius=3, total energy=4.470942
Defect type m=1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.600000, ring radius=30, total energy=4.614969
Defect type m=-1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.700000, ring radius=3, total energy=4.816507
Defect type m=1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.700000, ring radius=33, total energy=4.882825
Defect type m=-1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.800000, ring radius=3, total energy=5.177269
Defect type m=1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.800000, ring radius=36, total energy=5.151940
Defect type m=-1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.900000, ring radius=3, total energy=5.553086
Defect type m=1.000000, Frank constant ratio K=0.470000, aspect ratio R0=1.900000, ring radius=39, total energy=5.422029
Defect type m=-1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.600000, ring radius=3, total energy=4.477468
Defect type m=1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.600000, ring radius=30, total energy=4.670733
Defect type m=-1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.700000, ring radius=3, total energy=4.822928
Defect type m=1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.700000, ring radius=33, total energy=4.941290
Defect type m=-1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.800000, ring radius=3, total energy=5.183703
Defect type m=1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.800000, ring radius=36, total energy=5.213152
Defect type m=-1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.900000, ring radius=3, total energy=5.559647
Defect type m=1.000000, Frank constant ratio K=0.480000, aspect ratio R0=1.900000, ring radius=39, total energy=5.486025
Defect type m=-1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.600000, ring radius=3, total energy=4.483942
Defect type m=1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.600000, ring radius=31, total energy=4.725702
Defect type m=-1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.700000, ring radius=3, total energy=4.829297
Defect type m=1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.700000, ring radius=34, total energy=4.999010
Defect type m=-1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.800000, ring radius=3, total energy=5.190084
Defect type m=1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.800000, ring radius=37, total energy=5.273553
Defect type m=-1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.900000, ring radius=3, total energy=5.566155
Defect type m=1.000000, Frank constant ratio K=0.490000, aspect ratio R0=1.900000, ring radius=40, total energy=5.549054
Defect type m=-1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.600000, ring radius=3, total energy=4.490364
Defect type m=1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.600000, ring radius=31, total energy=4.779928
Defect type m=-1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.700000, ring radius=3, total energy=4.835616
Defect type m=1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.700000, ring radius=34, total energy=5.055840
Defect type m=-1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.800000, ring radius=3, total energy=5.196413
Defect type m=1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.800000, ring radius=37, total energy=5.333032
Defect type m=-1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.900000, ring radius=3, total energy=5.572610
Defect type m=1.000000, Frank constant ratio K=0.500000, aspect ratio R0=1.900000, ring radius=40, total energy=5.611218
Defect type m=-1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.600000, ring radius=3, total energy=4.496737
Defect type m=1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.600000, ring radius=31, total energy=4.833930
Defect type m=-1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.700000, ring radius=3, total energy=4.841884
Defect type m=1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.700000, ring radius=34, total energy=5.112426
Defect type m=-1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.800000, ring radius=3, total energy=5.202692
Defect type m=1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.800000, ring radius=37, total energy=5.392249
Defect type m=-1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.900000, ring radius=3, total energy=5.579015
Defect type m=1.000000, Frank constant ratio K=0.510000, aspect ratio R0=1.900000, ring radius=40, total energy=5.673100
